column_name,value,frequency,category
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(609120.0, 224000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(460320.0, 264000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(937680.0, 350000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(618240.0, 247000000.0)",1,"Outlier-ECOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(807600.0, 457000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(1095840.0, 398000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(545760.0, 228000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(609360.0, 234000000.0)",1,"Outlier-ECOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(798240.0, 327000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(860880.0, 320000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(109176.0, 164000000.0)",1,"Outlier-KNN_largest,KNN_median,Feature Bagging"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(109344.0, 167000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,Feature Bagging"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(298800.0, 409000000.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(218904.0, 277000000.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(206664.0, 207000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(484560.0, 229000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(516960.0, 210000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(530880.0, 217000000.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(714000.0, 277000000.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(417840.0, 279000000.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(428640.0, 242000000.0)",1,"Outlier-KNN_mean,HBOS,IForest,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(386160.0, 243000000.0)",1,"Outlier-HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(426240.0, 206000000.0)",1,Outlier-IForest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(451680.0, 209000000.0)",1,Outlier-IForest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(439200.0, 203000000.0)",1,Outlier-IForest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(400800.0, 225000000.0)",1,"Outlier-HBOS,IForest,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(387120.0, 254000000.0)",1,"Outlier-HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(365520.0, 255000000.0)",1,"Outlier-HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(447600.0, 215000000.0)",1,Outlier-IForest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(22103.0, 0.0)",1,"Outlier-Feature Bagging,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(481200.0, 178000000.0)",1,Outlier-ABOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(80472.0, 0.0)",1,"Outlier-Feature Bagging,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(247680.0, 199000000.0)",1,Outlier-ABOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(343920.0, 240000000.0)",1,"Outlier-HBOS,ABOD"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(378000.0, 223000000.0)",1,Outlier-HBOS
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(367440.0, 231000000.0)",1,Outlier-HBOS
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(354480.0, 235000000.0)",1,Outlier-HBOS
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(363120.0, 247000000.0)",1,Outlier-HBOS
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(197.0, 122000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(182.0, 69000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(242.0, 97900.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(227.0, 81400.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(227.0, 86500.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(226.0, 156000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(248.0, 132000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(286.0, 106000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(247.0, 95800.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(275.0, 107000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(264.0, 111000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(259.0, 105000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(214.0, 83300.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(208.0, 186000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(236.0, 125000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(211.0, 91700.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(262.0, 99200.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(181.0, 104000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(216.0, 143000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(241.0, 97300.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(193.0, 133000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(190.0, 121000.0)",1,Outlier-ECOD
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(30.0, 11200.0)",1,"Outlier-ECOD,Feature Bagging"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(762.0, 725000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(444.0, 632000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(7229.0, 11800000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(1400.0, 2320000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(1087.0, 1820000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(1520.0, 2300000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(683.0, 1010000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(1905.0, 2560000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(536.0, 1120000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(838.0, 933000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(918.0, 1570000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(709.0, 1090000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(250.0, 393000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(730.0, 1010000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(717.4, 729000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(6294.0, 13000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(11354.0, 19400000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(6240.0, 10600000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(2808.0, 4470000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(9384.0, 13800000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(20040.0, 22000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(81456.0, 108000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(109344.0, 150000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(77016.0, 111000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(103632.0, 114000000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population)","(21600.0, 23800000.0)",1,Outlier-Feature Bagging
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(543120.0, 906442.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(378000.0, 1201485.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(481200.0, 748737.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(333840.0, 1156473.0)",1,"Outlier-KNN_mean,KNN_largest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(684720.0, 906442.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(382800.0, 449907.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,HBOS"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(636240.0, 748737.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(304080.0, 1156473.0)",1,Outlier-KNN_largest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(504240.0, 906442.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(426240.0, 682342.0)",1,"Outlier-KNN_mean,KNN_largest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(616560.0, 748737.0)",1,"Outlier-Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(323760.0, 1156473.0)",1,Outlier-KNN_largest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(855360.0, 906442.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(472560.0, 120539.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(680400.0, 748737.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(323520.0, 1156473.0)",1,Outlier-KNN_largest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(451680.0, 449907.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(433440.0, 226167.0)",1,"Outlier-KNN_largest,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(941520.0, 120539.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(441360.0, 1201485.0)",1,"Outlier-ECOD,ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(439200.0, 449907.0)",1,"Outlier-KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(507840.0, 449907.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(769440.0, 906442.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(449520.0, 682342.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(711840.0, 658596.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(467760.0, 449907.0)",1,"Outlier-ABOD,KNN_mean,KNN_largest,KNN_median,HBOS,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(312480.0, 1156473.0)",1,Outlier-KNN_largest
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(609120.0, 906442.0)",1,"Outlier-ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(937680.0, 924695.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(618240.0, 748737.0)",1,"Outlier-Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(807600.0, 1156473.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(1095840.0, 906442.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
"Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Population Served, estimated ","(545760.0, 226167.0)",1,"Outlier-ECOD,ABOD,Feature Bagging,KNN_mean,KNN_largest,KNN_median,IForest"
