column_name,value,frequency,category
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,714000.0,1,"Outlier-KNN_mean,HBOS,ABOD,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,481200.0,1,Outlier-ABOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,472560.0,1,Outlier-ABOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,484560.0,1,Outlier-ABOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,197.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,182.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,226.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,214.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,208.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,211.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,181.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,216.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,193.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,190.0,1,Outlier-ECOD
Concentration SARS-CoV-2 gene target (N1 Copies/L) ,30.0,1,"Outlier-ECOD,Feature Bagging"
Per capita SARS-CoV-2 load (N1 copies per day per population),316000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),300000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),341000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),258000000.0,1,"Outlier-KNN_median,KNN_mean,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),562000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),284000000.0,1,"Outlier-KNN_mean,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),370000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),309000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),312000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),741000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),274000000.0,1,"Outlier-KNN_median,KNN_mean,KNN_largest,IForest"
Per capita SARS-CoV-2 load (N1 copies per day per population),286000000.0,1,"Outlier-KNN_mean,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),362000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),264000000.0,1,"Outlier-KNN_median,KNN_mean,KNN_largest,IForest"
Per capita SARS-CoV-2 load (N1 copies per day per population),350000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),457000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),398000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),327000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),320000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),409000000.0,1,"Outlier-KNN_mean,HBOS,IForest,Feature Bagging,KNN_median,KNN_largest,ECOD"
Per capita SARS-CoV-2 load (N1 copies per day per population),277000000.0,2,"Outlier-KNN_median,KNN_mean,KNN_largest,IForest"
Per capita SARS-CoV-2 load (N1 copies per day per population),279000000.0,1,"Outlier-KNN_mean,IForest,Feature Bagging,KNN_median,KNN_largest"
Per capita SARS-CoV-2 load (N1 copies per day per population),69000.0,1,"Outlier-ECOD,Feature Bagging"
Per capita SARS-CoV-2 load (N1 copies per day per population),81400.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),86500.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),95800.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),83300.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),91700.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),97300.0,1,Outlier-ECOD
Per capita SARS-CoV-2 load (N1 copies per day per population),0.0,3,"Outlier-ECOD,Feature Bagging"
Per capita SARS-CoV-2 load (N1 copies per day per population),11200.0,1,"Outlier-ECOD,Feature Bagging"
